age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,y
63,other,married,secondary,no,415,yes,no,cellular,7,second half,323,1,-1,0,no
48,white-collar,married,tertiary,no,5887,no,no,cellular,13,second half,227,2,-1,0,no
48,white-collar,married,secondary,no,1355,no,no,cellular,4,second half,134,2,-1,0,no
56,white-collar,married,secondary,no,16873,no,no,cellular,7,second half,223,1,-1,0,no
51,blue-collar,divorced,secondary,no,203,yes,no,cellular,8,first half,134,1,170,5,no
31,white-collar,married,secondary,no,338,yes,no,cellular,28,first half,155,1,-1,0,no
29,white-collar,married,secondary,no,444,yes,no,cellular,21,second half,130,4,-1,0,no
41,white-collar,married,secondary,no,0,no,yes,cellular,7,second half,630,3,-1,0,no
32,white-collar,single,tertiary,no,360,no,no,cellular,19,second half,164,2,-1,0,no
37,white-collar,married,tertiary,no,0,no,no,cellular,16,second half,268,2,182,3,yes
54,white-collar,divorced,tertiary,no,3222,no,no,cellular,14,second half,67,2,-1,0,no
41,blue-collar,divorced,secondary,no,174,yes,no,cellular,14,first half,367,2,297,1,no
40,white-collar,single,secondary,no,591,no,yes,cellular,14,second half,87,6,-1,0,no
50,blue-collar,divorced,primary,no,388,no,no,cellular,5,first half,701,1,-1,0,no
40,other,married,secondary,no,219,yes,no,cellular,17,second half,204,2,196,1,no
27,white-collar,divorced,secondary,no,451,yes,no,cellular,16,second half,652,1,-1,0,yes
60,other,married,primary,no,5,no,no,cellular,26,second half,63,2,-1,0,no
28,white-collar,single,secondary,no,177,yes,yes,cellular,6,first half,150,1,-1,0,no
52,white-collar,married,secondary,no,657,no,no,telephone,7,second half,398,2,460,2,yes
37,white-collar,married,tertiary,no,1315,no,no,cellular,30,first half,224,1,-1,0,yes
41,white-collar,single,secondary,no,879,no,yes,cellular,7,second half,60,4,-1,0,no
38,white-collar,married,secondary,no,424,yes,no,cellular,17,first half,279,1,-1,0,no
39,blue-collar,married,primary,no,111,no,no,cellular,18,second half,201,2,-1,0,no
27,white-collar,single,secondary,no,-195,yes,no,cellular,18,first half,391,1,-1,0,yes
32,white-collar,single,tertiary,no,3616,no,no,cellular,14,second half,165,2,-1,0,no
57,blue-collar,married,secondary,no,14093,no,no,cellular,11,second half,231,5,-1,0,no
30,white-collar,single,tertiary,no,261,no,no,cellular,19,second half,233,1,137,20,no
36,blue-collar,divorced,secondary,no,2843,no,no,cellular,12,first half,473,1,182,1,no
31,other,single,primary,no,406,no,no,cellular,4,first half,736,1,-1,0,yes
38,white-collar,single,tertiary,no,493,yes,no,cellular,11,first half,553,1,367,7,no
49,white-collar,married,secondary,no,5996,no,no,telephone,21,second half,345,2,-1,0,no
57,white-collar,single,primary,no,3777,yes,no,telephone,13,first half,65,2,-1,0,no
32,white-collar,single,tertiary,no,574,yes,no,cellular,14,first half,259,2,145,3,no
33,white-collar,married,tertiary,no,483,yes,no,cellular,3,first half,280,2,-1,0,no
56,other,married,primary,no,3391,no,no,cellular,21,first half,243,1,-1,0,yes
27,other,married,primary,no,0,yes,no,cellular,23,second half,435,3,-1,0,no
21,other,single,secondary,no,2488,no,no,cellular,30,first half,258,6,169,3,yes
58,white-collar,married,tertiary,no,1517,yes,no,telephone,29,second half,7,5,-1,0,no
32,white-collar,married,secondary,no,217,yes,yes,cellular,15,second half,317,5,-1,0,no
33,blue-collar,single,secondary,no,22,no,no,cellular,30,first half,76,2,207,1,no
25,other,single,secondary,no,331,no,no,telephone,26,second half,170,4,-1,0,yes
25,white-collar,single,secondary,no,505,no,yes,cellular,17,second half,386,2,-1,0,yes
30,white-collar,married,secondary,no,1808,yes,no,cellular,18,first half,83,2,-1,0,no
22,white-collar,single,secondary,no,4111,no,yes,cellular,19,second half,65,1,-1,0,no
39,blue-collar,married,primary,no,52,no,no,cellular,13,second half,69,1,-1,0,no
31,white-collar,divorced,secondary,no,1890,yes,no,cellular,21,second half,588,1,-1,0,no
45,blue-collar,married,primary,no,419,no,no,cellular,18,second half,113,4,-1,0,no
36,blue-collar,married,secondary,no,-231,no,yes,cellular,15,second half,779,2,-1,0,no
51,white-collar,single,tertiary,yes,-55,yes,no,cellular,11,first half,281,2,266,6,no
34,white-collar,single,tertiary,no,462,no,no,cellular,21,second half,1877,3,-1,0,yes
45,white-collar,single,secondary,no,586,no,yes,cellular,28,second half,32,3,-1,0,no
32,blue-collar,single,secondary,no,228,no,no,telephone,5,first half,176,1,288,3,no
77,other,divorced,tertiary,no,4659,no,no,cellular,14,first half,161,1,-1,0,yes
41,blue-collar,married,primary,no,168,yes,no,cellular,18,second half,187,3,-1,0,no
33,white-collar,single,tertiary,no,0,no,no,cellular,28,second half,236,10,-1,0,no
29,white-collar,single,secondary,no,428,yes,yes,cellular,7,first half,54,1,345,2,no
34,white-collar,single,tertiary,no,0,no,no,cellular,5,first half,71,1,-1,0,no
52,white-collar,married,tertiary,no,-970,yes,no,cellular,4,first half,489,1,-1,0,yes
32,white-collar,divorced,tertiary,no,948,no,no,cellular,12,second half,204,2,-1,0,no
32,white-collar,single,tertiary,no,0,yes,no,cellular,22,second half,455,2,-1,0,no
31,white-collar,single,tertiary,no,874,yes,no,cellular,18,second half,190,2,-1,0,no
35,white-collar,married,tertiary,no,106,no,yes,cellular,11,second half,588,2,-1,0,no
48,white-collar,married,secondary,no,1152,yes,no,cellular,21,second half,168,5,-1,0,no
46,white-collar,married,secondary,no,179,yes,no,cellular,29,first half,194,4,436,1,no
36,white-collar,single,tertiary,no,442,yes,yes,cellular,29,second half,102,3,-1,0,no
55,white-collar,married,secondary,no,8104,no,no,cellular,6,first half,213,2,-1,0,no
35,white-collar,divorced,secondary,no,308,no,no,cellular,22,second half,77,2,-1,0,no
55,white-collar,married,secondary,no,602,no,no,cellular,1,first half,324,3,90,2,yes
55,white-collar,married,secondary,no,273,yes,no,cellular,29,first half,84,3,183,3,no
27,white-collar,single,secondary,no,50,no,no,cellular,29,first half,168,1,-1,0,no
34,white-collar,married,secondary,no,1641,yes,no,cellular,17,first half,380,1,-1,0,no
28,white-collar,single,tertiary,no,80,no,no,cellular,20,second half,676,2,146,2,yes
78,other,married,secondary,no,499,no,no,telephone,16,first half,80,4,-1,0,no
45,blue-collar,divorced,secondary,no,1269,yes,no,cellular,29,first half,549,2,-1,0,no
32,blue-collar,single,secondary,no,1143,yes,yes,cellular,10,second half,412,1,-1,0,no
37,white-collar,single,tertiary,no,37,no,no,cellular,28,first half,253,2,-1,0,no
40,white-collar,single,secondary,no,462,yes,yes,cellular,6,first half,272,1,335,4,no
32,white-collar,married,secondary,no,1031,yes,no,cellular,17,second half,84,1,-1,0,no
42,white-collar,married,tertiary,no,9009,no,no,cellular,20,second half,135,2,-1,0,no
43,white-collar,married,secondary,no,-465,yes,yes,cellular,23,second half,166,1,-1,0,no
44,white-collar,married,secondary,no,5181,yes,yes,cellular,31,second half,18,7,-1,0,no
37,white-collar,married,secondary,no,176,yes,no,cellular,5,first half,147,2,347,1,no
37,white-collar,married,tertiary,no,0,yes,no,cellular,17,second half,65,2,119,1,no
28,white-collar,single,tertiary,no,172,yes,yes,cellular,2,first half,194,2,-1,0,no
32,white-collar,single,secondary,no,0,no,yes,cellular,11,second half,333,2,-1,0,no
34,white-collar,single,secondary,no,6979,yes,no,cellular,15,first half,14,5,-1,0,no
34,white-collar,married,tertiary,no,1972,yes,no,cellular,23,second half,61,2,-1,0,no
34,white-collar,married,tertiary,no,899,yes,no,telephone,19,second half,377,3,7,4,no
37,white-collar,single,secondary,no,21,yes,no,cellular,2,first half,96,1,271,2,no
36,white-collar,married,secondary,no,23,yes,no,cellular,8,first half,152,2,347,1,no
56,other,married,secondary,no,-1206,yes,no,cellular,15,first half,382,2,-1,0,yes
49,blue-collar,married,primary,no,0,yes,yes,telephone,23,second half,97,6,-1,0,no
33,white-collar,married,secondary,no,215,yes,no,cellular,29,second half,543,12,-1,0,no
30,white-collar,single,tertiary,no,1372,no,no,cellular,20,second half,240,2,-1,0,no
23,other,single,secondary,no,9216,no,no,cellular,5,first half,471,2,-1,0,no
57,other,divorced,secondary,no,39,yes,no,cellular,30,second half,354,3,-1,0,no
38,white-collar,married,secondary,no,1,no,yes,cellular,21,second half,152,2,-1,0,no
42,white-collar,married,tertiary,no,782,no,no,cellular,3,first half,285,1,-1,0,no
75,other,married,secondary,no,3771,no,no,telephone,15,first half,185,1,181,2,yes
34,white-collar,single,tertiary,no,992,yes,no,cellular,4,first half,301,1,88,2,no
48,white-collar,married,secondary,no,1526,no,no,cellular,6,second half,273,2,-1,0,no
35,white-collar,single,tertiary,no,2658,yes,no,cellular,19,second half,768,2,141,3,yes
39,white-collar,divorced,tertiary,no,1315,yes,no,cellular,19,second half,1337,4,126,1,no
29,blue-collar,single,tertiary,no,455,no,no,telephone,21,first half,403,1,-1,0,yes
45,white-collar,single,tertiary,no,0,yes,no,cellular,18,second half,139,2,-1,0,no
42,white-collar,married,secondary,no,2030,yes,yes,cellular,9,second half,196,1,-1,0,no
29,white-collar,married,secondary,no,1599,yes,no,cellular,8,second half,115,1,61,1,no
38,white-collar,single,secondary,no,-196,yes,no,cellular,2,first half,60,1,271,1,no
56,other,married,secondary,no,1333,no,no,cellular,28,second half,17,14,-1,0,no
36,white-collar,single,secondary,no,9149,yes,no,cellular,13,second half,141,3,-1,0,no
38,white-collar,married,tertiary,no,432,yes,no,cellular,15,first half,10,2,373,1,no
57,white-collar,married,secondary,no,11494,no,no,cellular,19,second half,198,1,-1,0,no
31,white-collar,married,tertiary,yes,-253,no,no,cellular,12,second half,220,4,-1,0,no
42,white-collar,married,tertiary,no,372,yes,no,cellular,3,second half,654,2,-1,0,yes
45,white-collar,married,secondary,no,1410,no,no,cellular,11,second half,71,2,-1,0,no
30,blue-collar,married,secondary,no,975,yes,no,cellular,13,first half,256,2,351,2,no
49,blue-collar,married,primary,no,305,yes,yes,telephone,10,second half,834,10,-1,0,no
49,white-collar,married,secondary,no,400,no,no,cellular,21,second half,151,3,-1,0,no
53,other,married,tertiary,no,-22,yes,no,cellular,31,second half,20,3,-1,0,no
41,white-collar,married,primary,no,204,no,no,cellular,13,second half,111,7,-1,0,no
54,white-collar,married,primary,no,1691,yes,no,cellular,20,second half,186,1,-1,0,no
33,white-collar,married,secondary,no,-204,no,no,cellular,15,first half,297,3,-1,0,no
33,white-collar,married,secondary,no,359,yes,no,cellular,20,first half,210,1,242,1,no
36,blue-collar,married,primary,no,123,yes,no,cellular,18,first half,9,1,-1,0,no
35,white-collar,married,tertiary,no,0,yes,yes,cellular,23,second half,112,1,62,6,no
44,white-collar,single,secondary,no,33,yes,no,cellular,13,first half,195,3,351,10,no
45,blue-collar,single,secondary,no,0,yes,no,cellular,26,second half,768,2,91,5,no
30,other,single,secondary,no,3096,no,no,cellular,26,first half,123,1,-1,0,no
48,white-collar,divorced,secondary,yes,20,no,no,cellular,27,second half,145,3,-1,0,no
33,blue-collar,married,secondary,no,3576,yes,no,cellular,2,first half,124,1,308,2,no
51,other,married,tertiary,no,1634,yes,no,cellular,22,second half,168,4,-1,0,no
34,white-collar,single,secondary,no,1,yes,no,cellular,22,second half,483,7,-1,0,no
50,white-collar,married,tertiary,no,4012,no,no,cellular,19,second half,690,3,-1,0,no
44,white-collar,married,tertiary,no,3762,no,no,cellular,28,second half,125,12,-1,0,no
36,white-collar,married,tertiary,no,0,yes,no,cellular,28,first half,60,1,250,1,no
32,other,single,secondary,no,0,no,no,cellular,27,first half,123,2,-1,0,no
42,white-collar,married,tertiary,no,484,yes,no,cellular,11,second half,144,2,-1,0,no
43,white-collar,married,secondary,no,0,no,yes,cellular,8,first half,9,2,172,5,no
31,white-collar,married,tertiary,no,395,yes,no,cellular,9,first half,155,3,-1,0,no
32,white-collar,married,tertiary,no,2349,no,no,cellular,14,second half,134,5,-1,0,no
55,blue-collar,divorced,primary,no,410,no,yes,cellular,11,second half,221,2,-1,0,no
58,other,married,primary,no,3401,yes,no,cellular,3,first half,84,3,265,2,no
46,blue-collar,married,primary,no,222,no,no,cellular,8,second half,71,2,-1,0,no
34,white-collar,married,tertiary,no,415,no,yes,cellular,23,second half,361,2,-1,0,no
28,other,single,secondary,no,16,no,no,cellular,12,second half,119,4,-1,0,no
42,white-collar,divorced,tertiary,no,7190,yes,no,cellular,29,second half,375,2,-1,0,no
29,blue-collar,single,secondary,no,482,no,yes,cellular,10,second half,1097,3,-1,0,yes
54,other,married,secondary,no,209,yes,yes,cellular,25,second half,97,1,-1,0,no
32,white-collar,single,secondary,no,0,no,no,cellular,26,second half,181,2,-1,0,no
39,white-collar,single,tertiary,no,5803,no,no,cellular,2,first half,83,3,-1,0,no
53,white-collar,married,tertiary,no,624,no,yes,cellular,21,second half,180,4,-1,0,no
58,white-collar,married,tertiary,no,883,no,no,cellular,18,second half,543,1,78,2,no
33,white-collar,married,tertiary,no,-988,yes,yes,cellular,15,second half,83,3,-1,0,no
38,white-collar,single,secondary,no,902,yes,no,telephone,31,second half,58,13,-1,0,no
56,white-collar,divorced,secondary,no,1007,no,no,cellular,29,second half,88,6,-1,0,no
40,white-collar,married,secondary,no,0,yes,no,cellular,2,first half,297,1,28,3,no
24,blue-collar,single,secondary,no,174,yes,yes,cellular,18,first half,487,1,-1,0,yes
35,white-collar,married,secondary,no,524,yes,no,cellular,21,second half,484,4,-1,0,no
35,blue-collar,single,tertiary,no,0,yes,no,cellular,21,second half,262,4,-1,0,no
35,other,married,tertiary,no,11219,no,no,cellular,12,second half,699,2,79,1,no
38,white-collar,single,tertiary,no,0,no,no,cellular,28,second half,247,2,-1,0,no
50,blue-collar,married,primary,no,5776,no,no,cellular,18,second half,49,3,-1,0,no
51,blue-collar,divorced,primary,no,37,yes,no,cellular,13,first half,341,1,-1,0,no
32,blue-collar,married,secondary,no,1148,yes,no,cellular,20,first half,121,1,-1,0,no
41,white-collar,married,tertiary,no,49,yes,no,cellular,17,second half,312,5,-1,0,no
34,white-collar,married,tertiary,no,69,no,yes,cellular,4,second half,120,3,1,6,yes
50,blue-collar,married,primary,no,4108,yes,no,cellular,7,second half,526,2,-1,0,yes
53,white-collar,married,secondary,no,4994,no,no,cellular,18,second half,62,6,-1,0,no
53,white-collar,divorced,secondary,no,0,yes,yes,cellular,15,second half,135,5,-1,0,no
47,white-collar,married,tertiary,no,3681,no,no,cellular,14,second half,101,2,-1,0,no
29,white-collar,married,tertiary,no,451,no,no,cellular,28,first half,451,1,-1,0,no
38,white-collar,married,secondary,no,593,yes,yes,cellular,24,second half,1484,24,-1,0,yes
32,blue-collar,married,secondary,no,759,yes,no,cellular,9,first half,317,5,-1,0,yes
70,other,divorced,primary,no,4531,no,no,cellular,18,first half,445,1,-1,0,no
65,other,divorced,primary,no,1840,no,no,cellular,1,first half,383,2,188,5,no
56,blue-collar,married,secondary,no,345,yes,no,telephone,22,second half,605,1,-1,0,no
35,blue-collar,married,secondary,no,1287,yes,no,cellular,14,second half,330,2,-1,0,no
56,white-collar,married,secondary,no,205,no,yes,cellular,23,second half,442,2,-1,0,no
49,white-collar,married,secondary,no,687,yes,no,cellular,17,first half,772,1,-1,0,yes
38,white-collar,married,tertiary,no,605,no,no,cellular,18,second half,147,2,-1,0,no
49,blue-collar,married,secondary,no,8545,yes,yes,cellular,6,first half,199,7,167,1,no
43,blue-collar,single,primary,no,2,yes,no,cellular,30,second half,783,3,-1,0,no
43,white-collar,married,tertiary,no,2,no,yes,cellular,20,second half,472,2,-1,0,no
25,white-collar,single,tertiary,no,760,yes,no,cellular,27,first half,223,3,89,2,yes
46,blue-collar,married,secondary,no,182,no,no,cellular,4,first half,56,1,-1,0,no
35,white-collar,married,secondary,no,2971,no,no,cellular,4,first half,429,4,164,2,yes
37,blue-collar,married,secondary,no,-67,no,no,cellular,2,first half,157,1,-1,0,no
60,white-collar,single,tertiary,no,179,no,yes,cellular,29,second half,79,4,-1,0,no
38,white-collar,married,tertiary,no,1199,no,no,cellular,4,second half,178,1,1,1,yes
33,white-collar,married,secondary,no,6699,no,no,cellular,9,second half,425,1,462,1,no
51,other,married,secondary,no,1760,no,yes,cellular,19,second half,162,1,-1,0,no
35,white-collar,single,tertiary,no,145,yes,no,cellular,18,second half,799,2,-1,0,yes
35,other,married,secondary,no,978,no,no,cellular,29,second half,1370,3,209,3,yes
37,white-collar,married,secondary,no,121,no,no,cellular,22,second half,22,6,-1,0,no
29,white-collar,single,tertiary,no,828,yes,no,cellular,16,first half,215,3,321,3,no
34,white-collar,married,secondary,no,244,yes,no,cellular,31,second half,56,4,-1,0,no
32,white-collar,married,primary,no,228,yes,no,cellular,21,second half,1017,6,-1,0,yes
30,white-collar,single,tertiary,no,424,no,no,cellular,16,first half,298,4,-1,0,yes
33,white-collar,single,tertiary,no,1410,yes,no,cellular,5,first half,8,1,254,5,no
63,other,married,primary,no,1084,no,no,cellular,14,second half,201,1,183,1,no
51,white-collar,divorced,primary,no,10924,no,no,cellular,6,first half,106,2,-1,0,no
41,white-collar,married,tertiary,no,832,yes,yes,cellular,21,second half,164,1,176,1,no
56,other,married,tertiary,no,478,no,no,cellular,5,first half,97,1,-1,0,no
60,white-collar,single,tertiary,no,0,no,yes,cellular,23,second half,151,1,-1,0,no
36,blue-collar,single,secondary,no,219,yes,yes,cellular,11,first half,270,2,347,1,no
57,white-collar,married,tertiary,no,1602,no,no,cellular,29,second half,339,3,-1,0,no
55,white-collar,married,primary,no,2587,no,no,cellular,4,second half,328,2,94,2,yes
47,white-collar,married,tertiary,no,2303,yes,no,cellular,6,first half,323,2,364,1,no
31,blue-collar,married,secondary,no,1660,yes,no,cellular,20,first half,342,1,-1,0,no
35,white-collar,married,tertiary,yes,32,yes,no,cellular,21,second half,180,1,-1,0,no
39,white-collar,married,tertiary,no,278,no,yes,cellular,28,second half,60,3,-1,0,no
50,white-collar,married,tertiary,no,4,no,no,cellular,17,second half,223,1,96,2,no
29,white-collar,married,tertiary,no,318,yes,no,cellular,18,first half,1434,2,356,4,no
48,white-collar,divorced,secondary,no,4099,no,no,cellular,2,first half,397,2,-1,0,yes
26,other,single,secondary,no,2572,yes,no,cellular,5,first half,620,1,-1,0,no
36,white-collar,single,tertiary,no,339,no,no,cellular,21,second half,6,6,-1,0,no
42,blue-collar,married,primary,no,0,yes,yes,cellular,7,first half,209,2,-1,0,no
49,blue-collar,married,secondary,no,2039,yes,no,cellular,18,second half,283,2,-1,0,no
45,white-collar,married,tertiary,no,5450,no,no,cellular,8,second half,188,2,-1,0,no
23,other,single,secondary,no,780,no,no,cellular,16,second half,267,1,-1,0,no
38,white-collar,single,secondary,no,0,yes,no,cellular,7,first half,196,2,-1,0,no
32,white-collar,single,tertiary,no,8436,yes,no,cellular,17,first half,245,1,149,2,no
60,white-collar,single,primary,no,11262,no,no,cellular,26,second half,323,1,-1,0,yes
30,white-collar,married,secondary,no,946,yes,no,cellular,19,second half,1065,1,183,1,no
60,other,married,primary,no,55,no,no,cellular,4,first half,207,1,-1,0,no
51,white-collar,married,secondary,no,-379,yes,no,cellular,5,second half,261,1,-1,0,no
42,white-collar,married,secondary,no,-396,yes,no,cellular,11,first half,80,1,308,4,no
30,white-collar,single,secondary,no,0,yes,no,cellular,18,first half,131,6,363,9,no
37,white-collar,married,tertiary,no,393,yes,no,cellular,14,first half,567,3,275,4,yes
27,white-collar,single,secondary,no,468,yes,no,cellular,13,first half,109,1,-1,0,no
39,blue-collar,married,secondary,no,0,yes,no,cellular,30,first half,53,1,325,1,no
59,other,married,tertiary,no,9676,no,no,telephone,27,first half,234,2,-1,0,yes
37,white-collar,married,secondary,no,1328,yes,no,telephone,13,first half,121,2,341,4,no
41,blue-collar,married,primary,no,8,yes,no,cellular,15,second half,155,2,-1,0,no
45,blue-collar,married,primary,no,61,no,no,cellular,17,first half,108,1,-1,0,no
32,blue-collar,married,secondary,no,1005,no,no,cellular,12,first half,215,1,-1,0,no
33,white-collar,single,tertiary,no,1240,yes,no,cellular,4,first half,505,2,260,1,no
35,white-collar,married,secondary,no,0,no,no,cellular,27,second half,106,4,-1,0,no
33,blue-collar,married,secondary,no,43,yes,no,cellular,14,first half,332,2,358,2,no
34,white-collar,married,secondary,no,613,yes,no,cellular,4,first half,80,1,-1,0,no
37,white-collar,single,tertiary,no,6101,no,no,cellular,4,first half,60,5,87,1,no
38,blue-collar,married,primary,no,168,yes,yes,telephone,13,first half,212,3,-1,0,no
39,blue-collar,married,primary,no,7685,yes,no,cellular,14,first half,493,3,-1,0,no
35,white-collar,divorced,tertiary,no,4515,yes,no,cellular,19,second half,98,2,-1,0,no
28,blue-collar,single,secondary,no,517,no,yes,cellular,8,second half,681,1,-1,0,yes
27,blue-collar,single,secondary,no,148,no,no,cellular,22,second half,203,1,-1,0,no
48,other,married,primary,yes,-285,no,yes,cellular,19,second half,157,1,-1,0,no
45,white-collar,married,secondary,no,3098,yes,no,cellular,7,second half,159,2,-1,0,no
39,white-collar,married,secondary,no,130,no,no,cellular,8,second half,202,2,-1,0,no
44,white-collar,married,secondary,no,438,yes,no,telephone,8,first half,37,3,303,1,no
54,white-collar,married,secondary,no,0,no,no,cellular,28,first half,161,1,98,2,yes
49,white-collar,married,tertiary,no,322,no,no,cellular,6,second half,72,4,-1,0,no
34,blue-collar,single,secondary,no,186,no,no,cellular,2,first half,342,1,-1,0,no
75,other,divorced,tertiary,no,3810,yes,no,cellular,16,second half,262,1,183,1,yes
42,white-collar,married,tertiary,no,0,no,no,cellular,13,second half,325,2,-1,0,no
53,blue-collar,married,secondary,no,4380,no,no,telephone,19,second half,223,7,-1,0,no
49,white-collar,divorced,tertiary,no,755,no,no,cellular,31,second half,1212,4,-1,0,yes
31,white-collar,single,secondary,no,2070,no,no,cellular,29,second half,319,2,-1,0,no
45,blue-collar,single,primary,no,999,no,no,cellular,29,first half,182,2,-1,0,no
39,white-collar,married,secondary,no,167,yes,yes,cellular,17,second half,330,1,-1,0,no
46,white-collar,married,secondary,no,1322,yes,yes,cellular,19,second half,514,1,-1,0,no
37,white-collar,married,tertiary,no,502,yes,no,cellular,7,first half,551,1,351,1,no
26,white-collar,single,tertiary,no,1216,yes,no,cellular,16,first half,472,2,-1,0,no
37,white-collar,single,tertiary,no,876,yes,no,cellular,15,first half,140,4,327,2,no
40,white-collar,married,tertiary,no,542,yes,no,cellular,20,second half,1816,1,-1,0,no
53,white-collar,married,primary,no,995,no,no,cellular,4,first half,200,3,-1,0,no
29,white-collar,married,tertiary,no,20,yes,no,cellular,12,first half,418,1,-1,0,no
34,white-collar,single,tertiary,no,228,yes,no,cellular,22,second half,387,4,-1,0,no
43,blue-collar,married,secondary,no,130,no,no,cellular,5,first half,156,1,337,3,no
56,white-collar,married,tertiary,no,217,no,yes,cellular,21,second half,121,2,-1,0,no
31,white-collar,married,tertiary,no,259,yes,no,cellular,7,first half,47,1,-1,0,no
27,white-collar,single,secondary,no,619,yes,no,cellular,20,first half,16,5,322,4,no
36,white-collar,married,secondary,no,644,yes,no,cellular,18,second half,54,2,-1,0,no
44,white-collar,married,tertiary,no,22,yes,no,cellular,6,second half,265,2,-1,0,no
30,white-collar,single,secondary,no,239,yes,no,cellular,7,first half,115,3,-1,0,no
42,white-collar,single,secondary,no,275,no,no,cellular,26,second half,31,8,-1,0,no
30,white-collar,married,tertiary,no,1221,yes,no,telephone,25,second half,279,4,-1,0,yes
62,other,married,secondary,no,816,no,no,cellular,1,second half,28,2,-1,0,no
24,blue-collar,married,secondary,no,1222,yes,no,cellular,20,first half,369,1,-1,0,no
66,other,married,tertiary,no,2262,no,no,cellular,22,first half,155,1,-1,0,no
47,white-collar,married,secondary,no,2,no,no,cellular,10,second half,89,1,-1,0,no
39,white-collar,married,tertiary,no,2,yes,no,cellular,17,second half,180,1,-1,0,no
35,white-collar,married,secondary,no,4508,yes,no,cellular,18,second half,854,1,-1,0,yes
35,white-collar,divorced,secondary,no,-402,yes,no,cellular,17,first half,46,1,-1,0,no
32,blue-collar,married,secondary,no,34,yes,no,cellular,5,first half,321,2,-1,0,no
44,white-collar,married,tertiary,no,795,no,no,cellular,28,second half,99,24,-1,0,no
